500 3
42 39 31
18 39 15
14 46 52
38 14 17
6 22 35
30 3 9
26 60 55
50 20 40
2 44 7
12 33 53
16 56 39
5 27 27
13 48 46
19 17 30
21 24 38
38 39 13
21 32 17
42 9 14
2 28 34
50 43 53
39 4 45
29 28 2
60 52 32
25 40 55
53 44 18
36 6 24
18 25 42
47 17 51
5 15 28
31 44 44
41 12 17
27 20 44
47 33 8
22 60 54
54 49 47
51 31 37
36 32 52
44 47 2
39 40 2
10 36 48
60 51 9
4 3 43
5 15 1
29 41 49
31 24 37
53 4 47
6 59 6
41 54 11
22 36 29
24 48 22
45 18 2
50 31 32
47 2 59
45 57 27
25 10 39
54 16 37
10 60 42
7 2 46
16 33 57
12 13 7
44 59 52
13 25 56
51 12 14
9 53 18
1 19 21
12 49 14
4 10 6
58 49 1
49 29 38
13 39 58
45 8 43
13 43 41
50 53 33
52 36 19
15 9 42
25 26 1
32 57 43
60 56 27
18 37 45
30 51 9
40 56 38
28 12 31
60 51 24
11 60 47
32 38 1
46 41 54
29 10 42
8 50 31
5 59 50
4 47 41
43 35 16
23 6 25
4 55 6
9 10 30
11 40 59
36 44 40
11 24 8
40 41 16
54 20 14
21 39 14
7 46 41
10 23 40
58 26 21
17 14 20
11 28 59
9 49 28
2 16 36
51 51 24
48 5 51
31 12 57
45 59 54
59 57 9
38 25 3
4 22 1
25 39 22
20 16 35
19 50 35
47 17 9
56 23 8
26 18 36
38 11 46
43 15 29
48 16 44
17 16 5
43 9 52
39 17 18
20 39 40
47 55 42
33 34 26
41 19 34
33 25 6
16 15 45
51 17 6
35 26 37
54 30 32
1 44 34
30 21 47
43 55 55
33 13 36
14 55 53
32 57 4
42 32 42
59 50 32
38 16 23
13 5 40
4 24 51
18 31 53
9 20 46
35 42 49
28 31 13
